Activity,Matching
"human practices, seeking sponsors and collaborations. building business model.",Human Practices
"safety forms, endophyte isolation and characterization, plant maintenance, and outreach.",Safety
"safety forms, endophyte isolation and characterization, plant maintenance, and outreach.",Experiments
"safety forms, endophyte isolation and characterization, plant maintenance, and outreach.",Public Engagement
"protein modeling for mutation simulations, experiment planning, plasmid work. treasurer of our funds.",Modelling
"protein modeling for mutation simulations, experiment planning, plasmid work. treasurer of our funds.",Experiments
"protein modeling for mutation simulations, experiment planning, plasmid work. treasurer of our funds.",Administration
donated lots of plasmids and reagents and helped troubleshoot plasmid work.,Material Supply
donated lots of plasmids and reagents and helped troubleshoot plasmid work.,Supervision
donated lots of plasmids and reagents and helped troubleshoot plasmid work.,Collaboration
"helped us troubleshoot pcrs, gave input on regulatory systems, developed idea for persistence assay. donated lots of cool board games for the meetup!",Supervision
"helped us troubleshoot pcrs, gave input on regulatory systems, developed idea for persistence assay. donated lots of cool board games for the meetup!",Design
"helped us troubleshoot pcrs, gave input on regulatory systems, developed idea for persistence assay. donated lots of cool board games for the meetup!",Creative Contributions
"donated lab space, helped with project idea development. main synthetic biology advisor.",Supervision
"donated lab space, helped with project idea development. main synthetic biology advisor.",Design
"donated plasmid with promoter, terminator, and gfp. guidance on enzyme design and assays.",Material Supply
"donated plasmid with promoter, terminator, and gfp. guidance on enzyme design and assays.",Supervision
donated lab space and equipment. helped us with culture collection. was our glbrc pi.,Material Supply
donated lab space and equipment. helped us with culture collection. was our glbrc pi.,Supervision
"endophyte isolation, collected switchgrass from kellogg biological station, and helped with persistence assays.",Experiments
"endophyte isolation, collected switchgrass from kellogg biological station, and helped with persistence assays.",Collaboration
helped with plasmid troubleshooting and transformation as well as protein experiments.,Experiments
helped with plasmid troubleshooting and transformation as well as protein experiments.,Supervision
assisted with transformation troubleshooting and attended weekly meetings to give helpful input.,Supervision
assisted with transformation troubleshooting and attended weekly meetings to give helpful input.,Collaboration
lansing public library,Public Engagement
monsanto learning center,Public Engagement
east lansing public library,Public Engagement
michigan state 4h outreach,Public Engagement
michigan state student organic farm,Public Engagement
impression 5 science center,Public Engagement
michigan state department of biochemistry and molecular biology,Collaboration
monsanto learning center manager,Administration
michigan state biochemistry professor,Supervision
idaho national laboratory,Collaboration
michigan state college of law,Human Practices
"michigan state chair in agricultural, food, and community ethics",Human Practices
michigan state horticulture professor,Supervision
michigan state plant biosciences professor,Supervision
michigan state plant research laboratory,Experiments
plant industry manager at michigan department of agriculture,Collaboration
graphic designer,Creative Contributions
team advisor and pi,Supervision
mathematical modeling and data analysis,Modelling
guidance of instrument operation,Supervision
interlab measurement,Interlab
providing contact information of chemical fertilizer companies,Human Practices
providing guidance and feedback,Supervision
assisting in contact with people,Collaboration
picture editing,Creative Contributions
paperwork,Administration
crucial experiments in the project,Experiments
answering questions and reminding of deadlines,Administration
team leader,Administration
providing financial and intellectual support,Fundraising
assistance to the team,Administration
nice colleagues to work with and interesting souls to communicate with,Collaboration
inspire each other a lot in every aspect during the whole process,Collaboration
seeking for innovative ideas,Design
operating complicated experiments,Experiments
carrying out human practices,Human Practices
designing wiki and posters to present our work completely at last,Documentation
offering tremendous support consistently and nicely,Supervision
project lead - nanopore,Design
collaboration,Collaboration
project lead - dna editor,Design
project lead - repair,Design
interlab measurement,Interlab
human practice,Human Practices
principle investigator,Supervision
instructor,Training
advisor,Supervision
closely guiding us in our igem journey,Supervision
guided us in our nanopore project,Supervision
mentor for our repair project,Supervision
bioinformatician in our laboratory,Analysis
training and guiding us since the first day we entered the lab,Training
mentor of our dna base editor project,Supervision
great advisor for our igem project,Supervision
leader for nanopore project,Administration
participated in experiments in the dna base editor project,Experiments
part of the interlab measurement team,Interlab
participated in the dna base editor project,Experiments
in charge of collaboration with team ui-indonesia and human practice,Collaboration
leader for the dna base editor project,Administration
in charge of collaboration with macquarie university,Collaboration
leader of the repair project and the igem team,Design
in charge of constructing the wiki page,Documentation
leader of the interlab measurement and the base pair change project,Interlab
helped in our collaboration with nusgem,Collaboration
leader of the repair project and the leader for our human practice,Design
conducted the social studies and the cross-country survey,Human Practices
collaborated with team ui-indonesia to help out our human practice,Collaboration
collaborated with team macquarie australia to measure binding affinity of our improved parts,Collaboration
collaborated with team nus-singapore-a to validate our abe constructs,Collaboration
provided us with the necessary financial support to participate in this competition,Fundraising
"provided us with essential laboratory equipments and a safe, comfortable working environment",Material Supply
provided us with 20 kb of free custom dna,Material Supply
teaching us basic molecular cloning techniques,Training
offering us meticulous advice on project and biobrick design throughout the project,Supervision
"teaching us basic experimental methods (e.g. omv extraction, bca assay, sds-page)",Training
providing us with protocols for bca assay and extracting omv,Material Supply
giving us advice on biobrick design and performing experiment,Supervision
"helping us construct tora-gfp, fada, cjcas9, and sgrna’s biobrick",Parts
"designing team logo, posters, and postcards",Creative Contributions
drawing illustrative pictures,Creative Contributions
going through the previous years’ projects wiki pages,Documentation
contributing a great effort for creating wiki pages,Documentation
"providing general information about crc in china, including common treatment",Human Practices
giving us feedbacks concerning safety and improvement on our project,Safety
tianjin environmental protection bureau interview,Human Practices
education,Training
wiki text,Documentation
wiki & graphic design,Creative Contributions
biobricks,Parts
presentation,Creative Contributions
figuring out the quality of certain heavy metal in water,Experiments
figuring out the quality of certain heavy metal in water,Analysis
high throughput screening of certain cancer,Experiments
advice and suggestions,Supervision
poster text and graphic design,Creative Contributions
banner,Creative Contributions
wiki design,Documentation
logo design,Creative Contributions
heavy metal detection,Experiments
cell-free cancer detection,Experiments
delivery of the rnps into cells,Experiments
curation of mitochondrial diseases,Analysis
presentation coaching,Creative Contributions
project advisor support,Supervision
wiki support,Documentation
human practices support,Human Practices
pipetting,Experiments
mathematical simulations and modeling,Modelling
"teaching developmental biology, introductory biology, phage lab, freshmen genomics lab, upper level seminars in bioinformatics, synthetic biology, and developmental neurobiology",Training
"teaching calculus, differential equations, nonlinear dynamics, and mathematical biology",Training
instrumental role in project,Collaboration
guidance with math modeling,Supervision
assistance with lab facilities,Material Supply
assistance,Supervision
microscopy guidance,Supervision
assistance in developing conceptual framework of project,Design
technical support,Supervision
science coordinator for virginia department of education,Supervision
regional sales manager for thermofisher scientific,Entrepreneurship
counsel event assistant for girl scouts of the colonial coast,Human Practices
counsel partnership and event manager girl scouts of the colonial coast,Administration
under secretary general of the general assembly william and mary model united nations,Administration
"manager of activities, williamsburg landing",Administration
williamsburg-james city public school educator,Training
camp launch,Training
"spira, cto (business speaker)",Entrepreneurship
medical explorers,Training
"windsormeade, lifestyle coordinator",Administration
"women’s weekend, director of alumni initiatives william and mary",Administration
"clinical professor at the william and mary mason school of business, executive director of the entrepreneurship center",Entrepreneurship
mini-proposal (funding),Fundraising
high school trainee,Training
"conceived, designed and implemented all text, figures code, and experiments",Design
"conceived, designed and implemented all text, figures code, and experiments",Experiments
advising,Supervision
provided overarching guidance for the research project during weekly meetings throughout the summer.,Supervision
helped provide preliminary guidance during beginning stages of planning.,Supervision
trained new igem team members in relevant molecular biology laboratory techniques in her 'molecular biology laboratory' lab class.,Training
"provided day-to-day guidance in lab, helped troubleshoot experiments, and advice on general research direction.",Supervision
helped with research objective #1 by helping troubleshoot secretion inefficiencies.,Experiments
helped with research objective #1 by helping troubleshoot experiments involving lc-ms verification of breakdown products.,Experiments
"brainstormed initial project idea and direction, conducted interlab study, and worked on objective #3.",Design
"brainstormed initial project idea and direction, conducted interlab study, and worked on objective #3.",Interlab
"brainstormed initial project idea and direction, conducted interlab study, and worked on objective #3.",Creative Contributions
worked on objective #2 and flux balance analysis modeling.,Analysis
worked on objective #2 and flux balance analysis modeling.,Modelling
worked on objective #1 and biobrick characterization.,Analysis
worked on objective #1 and biobrick characterization.,Parts
worked on objective #3 and graphics design.,Analysis
worked on objective #3 and graphics design.,Creative Contributions
