Donor,(Donor) Country,(Donor) Continent,(Donor) Medal Colour,(Donor) Team size - Student Members,(Donor) Team size - Auxilliary Members,Recipient,Special Award(s)? (Yes/No),Name of Special Awards
USTC,China,Asia,,18,3,USTC-Software,No,
USTC-Software,China,Asia,Gold,21,4,USTC,No,
Utah_State,United States of America,North America,Silver,8,2,British_Columbia,No,
Utah_State,United States of America,North America,Silver,8,2,Concordia,No,
Utah_State,United States of America,North America,Silver,8,2,Cornell,No,
Utah_State,United States of America,North America,Silver,8,2,LaVerne-Leos,No,
Utah_State,United States of America,North America,Silver,8,2,Northeastern_Boston,No,
Utah_State,United States of America,North America,Silver,8,2,Stanford-Brown,No,
Utah_State,United States of America,North America,Silver,8,2,Yale,No,
UT-Tokyo,Japan,Asia,Silver,12,2,ANU-Canberra,No,
UT-Tokyo,Japan,Asia,Silver,12,2,IONIS_Paris,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Amoy,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Nankai,No,
Valencia_UPV,Spain,Europe,Gold,9,7,NEFU_China,No,
Valencia_UPV,Spain,Europe,Gold,9,7,NRP-UEA-Norwich,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Paris_Bettencourt,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Paris_Saclay,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Pasteur_Paris,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Stockholm,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Tianjin,No,
Valencia_UPV,Spain,Europe,Gold,9,7,TrinityCollegeDublin,No,
Valencia_UPV,Spain,Europe,Gold,9,7,Tuebingen,No,
Vanderbilt,United States of America,North America,,8,6,Paris_Bettencourt,No,
Vanderbilt,United States of America,North America,,8,6,UCSF,No,
Vanderbilt,United States of America,North America,,8,6,UGA-Georgia,No,
Vanderbilt,United States of America,North America,,8,6,Vilnius-Lithuania,No,
Vanderbilt,United States of America,North America,,8,6,Virginia,No,
Vanderbilt,United States of America,North America,,8,6,WashU_StLouis,No,
Vilnius-Lithuania,Lithuania,Europe,Gold,7,2,Oxford,Yes,Nominated for Best Foundational Advance Project
Vilnius-Lithuania,Lithuania,Europe,Gold,7,2,Paris_Bettencourt,Yes,Nominated for Best Foundational Advance Project
Vilnius-Lithuania,Lithuania,Europe,Gold,7,2,SDU-Denmark,Yes,Nominated for Best Foundational Advance Project
Vilnius-Lithuania,Lithuania,Europe,Gold,7,2,Tec-Monterrey,Yes,Nominated for Best Foundational Advance Project
Vilnius-Lithuania,Lithuania,Europe,Gold,7,2,Toulouse,Yes,Nominated for Best Foundational Advance Project
Vilnius-Lithuania,Lithuania,Europe,Gold,7,2,UCSF,Yes,Nominated for Best Foundational Advance Project
Vilnius-Lithuania,Lithuania,Europe,Gold,7,2,Vanderbilt,Yes,Nominated for Best Foundational Advance Project
Virginia,United States of America,North America,Silver,9,0,Umaryland,No,
Virginia,United States of America,North America,Silver,9,0,Vanderbilt,No,
Warwick,England,Europe,Gold,8,11,Glasgow,No,
Warwick,England,Europe,Gold,8,11,Manchester-Graz,No,
Warwick,England,Europe,Gold,8,11,NTNU_Trondheim,No,
Warwick,England,Europe,Gold,8,11,Oxford,No,
WashU_StLouis,United States of America,North America,Bronze,6,1,Vanderbilt,No,
Waterloo,Canada,North America,Gold,37,5,Aalto-Helsinki,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,Hamilton_McMaster,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,IIT_Kharagpur,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,Paris_Saclay,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,Queens_Canada,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,Tec-Monterrey,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,Toronto,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,UCL,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,UI_Indonesia,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Waterloo,Canada,North America,Gold,37,5,uOttawa,Yes,"Best Software Tool (Overgrad), Best Poster (Overgrad), Nominated for Best Foundational Advance Project"
Wellesley_TheTech,United States of America,North America,Gold,9,6,BostonU,Yes,
Wellesley_TheTech,United States of America,North America,Gold,9,6,MIT,Yes,
Westminster,England,Europe,Gold,13,2,Aix-Marseille,No,
Westminster,England,Europe,Gold,13,2,Cambridge-JIC,No,
WHU-China,China,Asia,Silver,26,3,HZAU-China,No,
WHU-China,China,Asia,Silver,26,3,Jilin_China,No,
William_and_Mary,United States of America,North America,Gold,8,2,Cambridge-JIC,Yes,"Finalist (Undergrad), Grand Prize Winner (Undergrad), Best Measurement Project, Best Education and Public Engagement (Undergrad), Best Presentation (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Education and Public Engagement (Undergrad)"
William_and_Mary,United States of America,North America,Gold,8,2,UGA-Georgia,Yes,"Finalist (Undergrad), Grand Prize Winner (Undergrad), Best Measurement Project, Best Education and Public Engagement (Undergrad), Best Presentation (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Education and Public Engagement (Undergrad)"
William_and_Mary,United States of America,North America,Gold,8,2,Umaryland,Yes,"Finalist (Undergrad), Grand Prize Winner (Undergrad), Best Measurement Project, Best Education and Public Engagement (Undergrad), Best Presentation (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Education and Public Engagement (Undergrad)"
WLC-Milwaukee,United States of America,North America,Gold,11,3,Amoy,Yes,Nominated for Best Education and Public Engagement (Undergrad)
WLC-Milwaukee,United States of America,North America,Gold,11,3,Minnesota,Yes,Nominated for Best Education and Public Engagement (Undergrad)
WLC-Milwaukee,United States of America,North America,Gold,11,3,Nankai,Yes,Nominated for Best Education and Public Engagement (Undergrad)
WLC-Milwaukee,United States of America,North America,Gold,11,3,NEFU_China,Yes,Nominated for Best Education and Public Engagement (Undergrad)
WLC-Milwaukee,United States of America,North America,Gold,11,3,Santa_Clara,Yes,Nominated for Best Education and Public Engagement (Undergrad)
WLC-Milwaukee,United States of America,North America,Gold,11,3,Stanford-Brown,Yes,Nominated for Best Education and Public Engagement (Undergrad)
WLC-Milwaukee,United States of America,North America,Gold,11,3,Stanford-Brown,Yes,Nominated for Best Education and Public Engagement (Undergrad)
WPI-Worcester,United States of America,North America,Gold,7,2,Harvard_BioDesign,No,
XJTLU-CHINA,China,Asia,Silver,17,4,BIT-China,No,
XJTLU-CHINA,China,Asia,Silver,17,4,NYU_Shanghai,No,
Yale,United States of America,North America,Silver,13,5,British_Columbia,No,
Yale,United States of America,North America,Silver,13,5,Concordia,No,
Yale,United States of America,North America,Silver,13,5,Cornell,No,
Yale,United States of America,North America,Silver,13,5,LaVerne-Leos,No,
Yale,United States of America,North America,Silver,13,5,Northeastern_Boston,No,
Yale,United States of America,North America,Silver,13,5,Utah_State,No,
York,England,Europe,Gold,10,7,Cairo_Egypt,Yes,Nominated for Best Supporting Entrepreneurship (Undergrad)
York,England,Europe,Gold,10,7,KU_Leuven,Yes,Nominated for Best Supporting Entrepreneurship (Undergrad)
York,England,Europe,Gold,10,7,Technion_Israel,Yes,Nominated for Best Supporting Entrepreneurship (Undergrad)
York,England,Europe,Gold,10,7,TU_Eindhoven,Yes,Nominated for Best Supporting Entrepreneurship (Undergrad)
ZJU-China,China,Asia,Gold,15,5,BNU-China,No,
ZJU-China,China,Asia,Gold,15,5,HZAU-China,No,
